,0,0,0,0,0
N_HIDDEN,16.0,32.0,64.0,128.0,300.0
LDA,0.4879704537013104,0.5210467725205075,0.5098655431592652,0.5169314465694331,0.5098878076172582
CorEx,0.347469114803458,0.31050081119899675,0.2991244018866981,0.3106408763362739,0.30971164873433177
